district_key,source_table,source_row_number,source_sector_name,sector_id,mapping_method,selected_for_proxy,mapping_status
gasabo,residence_area,3,Rwanda,,unmatched,False,administrative_summary_not_a_sector
gasabo,residence_area,4,City of Kigali,,unmatched,False,administrative_summary_not_a_sector
gasabo,residence_area,5,Gasabo district,,unmatched,False,administrative_summary_not_a_sector
gasabo,residence_area,6,Bumbogo,RWA.5.1.1_1,exact,True,selected_sector_record
gasabo,residence_area,7,Gatsata,RWA.5.1.2_1,exact,True,selected_sector_record
gasabo,residence_area,8,Gikomero,RWA.5.1.3_1,exact,True,selected_sector_record
gasabo,residence_area,9,Gisozi,RWA.5.1.4_1,exact,True,selected_sector_record
gasabo,residence_area,10,Jabana,RWA.5.1.5_1,exact,True,selected_sector_record
gasabo,residence_area,11,Jali,RWA.5.1.6_1,exact,True,selected_sector_record
gasabo,residence_area,12,Kacyiru,RWA.5.1.7_1,exact,True,selected_sector_record
gasabo,residence_area,13,Kimihurura,RWA.5.1.8_1,exact,True,selected_sector_record
gasabo,residence_area,14,Kimironko,RWA.5.1.9_1,exact,True,selected_sector_record
gasabo,residence_area,15,Kinyinya,RWA.5.1.10_1,exact,True,selected_sector_record
gasabo,residence_area,16,Ndera,RWA.5.1.11_1,exact,True,selected_sector_record
gasabo,residence_area,17,Nduba,RWA.5.1.12_1,exact,True,selected_sector_record
gasabo,residence_area,18,Remera,RWA.5.1.13_1,exact,True,selected_sector_record
gasabo,residence_area,19,Rusororo,RWA.5.1.14_1,exact,True,selected_sector_record
gasabo,residence_area,20,Rutunga,RWA.5.1.15_1,exact,True,selected_sector_record
gasabo,sex,3,Rwanda,,unmatched,False,administrative_summary_not_a_sector
gasabo,sex,5,Gasabo District,,unmatched,False,administrative_summary_not_a_sector
gasabo,sex,6,Bumbogo,RWA.5.1.1_1,exact,True,selected_sector_record
gasabo,sex,7,Gatsata,RWA.5.1.2_1,exact,True,selected_sector_record
gasabo,sex,8,Gikomero,RWA.5.1.3_1,exact,True,selected_sector_record
gasabo,sex,9,Gisozi,RWA.5.1.4_1,exact,True,selected_sector_record
gasabo,sex,10,Jabana,RWA.5.1.5_1,exact,True,selected_sector_record
gasabo,sex,11,Jali,RWA.5.1.6_1,exact,True,selected_sector_record
gasabo,sex,12,Kac iru,RWA.5.1.7_1,fuzzy_review_required,True,selected_sector_record
gasabo,sex,13,Kimihurura,RWA.5.1.8_1,exact,True,selected_sector_record
gasabo,sex,14,Kimironko,RWA.5.1.9_1,exact,True,selected_sector_record
gasabo,sex,15,Kin in a,RWA.5.1.10_1,alias,True,selected_sector_record
gasabo,sex,16,Ndera,RWA.5.1.11_1,exact,True,selected_sector_record
gasabo,sex,17,Nduba,RWA.5.1.12_1,exact,True,selected_sector_record
gasabo,sex,18,Remera,RWA.5.1.13_1,exact,True,selected_sector_record
gasabo,sex,19,Rusororo,RWA.5.1.14_1,exact,True,selected_sector_record
gasabo,sex,20,Rutun a,RWA.5.1.15_1,fuzzy_review_required,True,selected_sector_record
kicukiro,residence_area,3,Rwanda,,unmatched,False,administrative_summary_not_a_sector
kicukiro,residence_area,4,City of Kigali,,unmatched,False,administrative_summary_not_a_sector
kicukiro,residence_area,5,Kicukiro district,,unmatched,False,administrative_summary_not_a_sector
kicukiro,residence_area,6,Gahan a,RWA.5.2.1_1,fuzzy_review_required,True,selected_sector_record
kicukiro,residence_area,7,Gaten a,RWA.5.2.2_1,alias,True,selected_sector_record
kicukiro,residence_area,8,Gikondo,RWA.5.2.3_1,exact,True,selected_sector_record
kicukiro,residence_area,9,Ka arama,RWA.5.2.4_1,fuzzy_review_required,True,selected_sector_record
kicukiro,residence_area,10,Kanombe,RWA.5.2.5_1,exact,True,selected_sector_record
kicukiro,residence_area,11,Kicukiro,RWA.5.2.6_1,exact,True,selected_sector_record
kicukiro,residence_area,12,Ki arama,RWA.5.2.7_1,alias,True,selected_sector_record
kicukiro,residence_area,13,M as aka,RWA.5.2.8_1,fuzzy_review_required,True,selected_sector_record
kicukiro,residence_area,14,Niboye,RWA.5.2.9_1,exact,True,selected_sector_record
