sector_id,sector_name,district,model_vulnerability_score,proxy_score,scenario,model_weight,indicator_weight,hybrid_score,hybrid_class,hybrid_rank,baseline_60_40_rank,rank_change_from_60_40,in_top_10
RWA.1.4.4_1,Gashaki,Musanze,0.6850420824040536,0.5175642990632866,indicator_model_equal_50_50,0.5,0.5,0.6013031907336701,High,1,1,0,True
RWA.1.4.13_1,Remera,Musanze,0.6491756283840224,0.5231253843006046,indicator_model_equal_50_50,0.5,0.5,0.5861505063423136,High,2,2,0,True
RWA.1.4.14_1,Rwaza,Musanze,0.6275080272155636,0.5095302654508534,indicator_model_equal_50_50,0.5,0.5,0.5685191463332085,High,3,3,0,True
RWA.1.4.7_1,Kinigi,Musanze,0.6706597783028633,0.4414543629815136,indicator_model_equal_50_50,0.5,0.5,0.5560570706421885,High,4,4,0,True
RWA.1.4.15_1,Shingiro,Musanze,0.6278304433199862,0.4625705093806492,indicator_model_equal_50_50,0.5,0.5,0.5452004763503177,High,5,5,0,True
RWA.1.4.3_1,Gacaca,Musanze,0.6265100190268001,0.4629871386840336,indicator_model_equal_50_50,0.5,0.5,0.5447485788554168,High,6,6,0,True
RWA.1.4.5_1,Gataraga,Musanze,0.6598558239412574,0.3836754690230567,indicator_model_equal_50_50,0.5,0.5,0.5217656464821571,High,7,8,1,True
RWA.1.4.12_1,Nyange,Musanze,0.6760679686390471,0.362824706885707,indicator_model_equal_50_50,0.5,0.5,0.519446337762377,High,8,7,-1,True
RWA.1.4.11_1,Nkotsi,Musanze,0.6414313598418009,0.3880988555860776,indicator_model_equal_50_50,0.5,0.5,0.5147651077139392,High,9,9,0,True
RWA.1.4.9_1,Muko,Musanze,0.6113258219096974,0.3818568531108455,indicator_model_equal_50_50,0.5,0.5,0.49659133751027146,High,10,10,0,True
RWA.5.1.3_1,Gikomero,Gasabo,0.44040310916416703,0.4908936414447347,indicator_model_equal_50_50,0.5,0.5,0.46564837530445086,High,11,15,4,False
RWA.1.4.10_1,Musanze,Musanze,0.5798593639043987,0.3472088260571689,indicator_model_equal_50_50,0.5,0.5,0.4635340949807838,High,12,12,0,False
RWA.5.3.1_1,Gitega,Nyarugenge,0.39896330804995916,0.5243010335503896,indicator_model_equal_50_50,0.5,0.5,0.4616321708001744,High,13,17,4,False
RWA.1.4.6_1,Kimonyi,Musanze,0.6621707803537019,0.2588449918700046,indicator_model_equal_50_50,0.5,0.5,0.4605078861118532,High,14,11,-3,False
RWA.5.1.15_1,Rutunga,Gasabo,0.42815861079320255,0.490130162366322,indicator_model_equal_50_50,0.5,0.5,0.4591443865797623,High,15,16,1,False
RWA.5.1.6_1,Jali,Gasabo,0.5951180838999377,0.3183499249275169,indicator_model_equal_50_50,0.5,0.5,0.4567340044137273,High,16,13,-3,False
RWA.1.4.1_1,Busogo,Musanze,0.6138109390272574,0.2735898572497749,indicator_model_equal_50_50,0.5,0.5,0.44370039813851614,High,17,14,-3,False
RWA.5.3.4_1,Kimisagara,Nyarugenge,0.42243122156250856,0.4405804353541357,indicator_model_equal_50_50,0.5,0.5,0.43150582845832214,Medium,18,21,3,False
RWA.5.3.10_1,Rwezamenyo,Nyarugenge,0.45189319388668847,0.401733325963705,indicator_model_equal_50_50,0.5,0.5,0.4268132599251967,Medium,19,19,0,False
RWA.5.3.7_1,Nyakabanda,Nyarugenge,0.4932004667531836,0.3533179574454252,indicator_model_equal_50_50,0.5,0.5,0.4232592120993044,Medium,20,18,-2,False
RWA.5.3.2_1,Kanyinya,Nyarugenge,0.4889751276191128,0.3272753144539934,indicator_model_equal_50_50,0.5,0.5,0.40812522103655313,Medium,21,22,1,False
RWA.1.4.8_1,Muhoza,Musanze,0.5544373847628482,0.2429318962460824,indicator_model_equal_50_50,0.5,0.5,0.3986846405044653,Medium,22,20,-2,False
RWA.1.4.2_1,Cyuve,Musanze,0.48730753382336056,0.2903992812044433,indicator_model_equal_50_50,0.5,0.5,0.38885340751390196,Medium,23,23,0,False
RWA.5.1.12_1,Nduba,Gasabo,0.44724355429099283,0.3090924464295181,indicator_model_equal_50_50,0.5,0.5,0.37816800036025544,Medium,24,24,0,False
RWA.5.1.5_1,Jabana,Gasabo,0.3874615772982278,0.2882546292574698,indicator_model_equal_50_50,0.5,0.5,0.3378581032778488,Medium,25,25,0,False
RWA.5.3.5_1,Mageregere,Nyarugenge,0.3910788861068418,0.2800841808447797,indicator_model_equal_50_50,0.5,0.5,0.33558153347581077,Medium,26,26,0,False
RWA.5.3.3_1,Kigali,Nyarugenge,0.36568358092996395,0.2544570041276887,indicator_model_equal_50_50,0.5,0.5,0.31007029252882634,Medium,27,27,0,False
RWA.5.1.2_1,Gatsata,Gasabo,0.2982521519171165,0.2784616817960349,indicator_model_equal_50_50,0.5,0.5,0.2883569168565757,Medium,28,29,1,False
RWA.5.2.6_1,Kicukiro,Kicukiro,0.3206836280136834,0.2417520070579284,indicator_model_equal_50_50,0.5,0.5,0.2812178175358059,Medium,29,30,1,False
RWA.5.1.4_1,Gisozi,Gasabo,0.2545024933490333,0.3067380051896409,indicator_model_equal_50_50,0.5,0.5,0.2806202492693371,Medium,30,32,2,False
RWA.5.2.8_1,Masaka,Kicukiro,0.37895410892613496,0.1579712087760667,indicator_model_equal_50_50,0.5,0.5,0.2684626588511008,Medium,31,28,-3,False
RWA.5.3.6_1,Muhima,Nyarugenge,0.2681986017454431,0.2642044247024577,indicator_model_equal_50_50,0.5,0.5,0.26620151322395036,Medium,32,33,1,False
RWA.5.1.1_1,Bumbogo,Gasabo,0.3158579297832985,0.2149336613869248,indicator_model_equal_50_50,0.5,0.5,0.26539579558511167,Medium,33,31,-2,False
RWA.5.2.2_1,Gatenga,Kicukiro,0.29933854352334177,0.2156375855440717,indicator_model_equal_50_50,0.5,0.5,0.25748806453370676,Low,34,34,0,False
RWA.5.2.3_1,Gikondo,Kicukiro,0.2775972788788799,0.2221388923913258,indicator_model_equal_50_50,0.5,0.5,0.24986808563510288,Low,35,35,0,False
RWA.5.3.8_1,Nyamirambo,Nyarugenge,0.2577973842962659,0.2405879256891908,indicator_model_equal_50_50,0.5,0.5,0.24919265499272836,Low,36,37,1,False
RWA.5.2.7_1,Kigarama,Kicukiro,0.2247665050176588,0.2555188662962006,indicator_model_equal_50_50,0.5,0.5,0.2401426856569297,Low,37,39,2,False
RWA.5.1.13_1,Remera,Gasabo,0.24095487498714802,0.2319237891238495,indicator_model_equal_50_50,0.5,0.5,0.23643933205549877,Low,38,38,0,False
RWA.5.2.4_1,Kagarama,Kicukiro,0.3114946594871306,0.1610311820554308,indicator_model_equal_50_50,0.5,0.5,0.2362629207712807,Low,39,36,-3,False
RWA.5.2.5_1,Kanombe,Kicukiro,0.2668802306814894,0.1703263244411434,indicator_model_equal_50_50,0.5,0.5,0.21860327756131642,Low,40,40,0,False
RWA.5.3.9_1,Nyarugenge,Nyarugenge,0.23990425643582888,0.1860084281468038,indicator_model_equal_50_50,0.5,0.5,0.21295634229131633,Low,41,41,0,False
RWA.5.1.7_1,Kacyiru,Gasabo,0.18602919295309006,0.2329120553974533,indicator_model_equal_50_50,0.5,0.5,0.20947062417527168,Low,42,42,0,False
RWA.5.1.11_1,Ndera,Gasabo,0.18272222117186745,0.2188736158788271,indicator_model_equal_50_50,0.5,0.5,0.20079791852534729,Low,43,43,0,False
