sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,primary_model,probability_low,probability_medium,probability_high,model_predicted_class,model_probability,model_vulnerability_score,model_priority_rank,model_agrees_with_proxy_label,hybrid_model_weight,hybrid_indicator_weight,hybrid_model_contribution,hybrid_indicator_contribution,hybrid_vulnerability_score,hybrid_vulnerability_class,hybrid_priority_rank,hybrid_class_threshold_method,hybrid_class_low_upper_score,hybrid_class_medium_upper_score
RWA.1.4.4_1,Gashaki,Musanze,High,0.5175642990632866,3,random_forest,0.19735919584438216,0.23519744350312832,0.5674433606524895,High,0.5674433606524895,0.6850420824040536,1,True,0.6,0.4,0.4110252494424322,0.20702571962531466,0.6180509690677468,High,1,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.13_1,Remera,Musanze,High,0.5231253843006046,2,random_forest,0.24345519368573548,0.2147383558604843,0.5418064504537803,High,0.5418064504537803,0.6491756283840224,6,True,0.6,0.4,0.38950537703041344,0.20925015372024186,0.5987555307506554,High,2,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.14_1,Rwaza,Musanze,High,0.5095302654508534,4,random_forest,0.28120607677774634,0.18257179201337995,0.5362221312088735,High,0.5362221312088735,0.6275080272155635,9,True,0.6,0.4,0.37650481632933813,0.2038121061803414,0.5803169225096796,High,3,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.7_1,Kinigi,Musanze,High,0.4414543629815136,9,random_forest,0.22381436320030262,0.21105171699366837,0.5651339198060291,High,0.5651339198060291,0.6706597783028633,3,True,0.6,0.4,0.402395866981718,0.17658174519260544,0.5789776121743234,High,4,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.15_1,Shingiro,Musanze,High,0.4625705093806492,8,random_forest,0.2887334253628562,0.1668722626343152,0.5443943120028286,High,0.5443943120028286,0.6278304433199862,8,True,0.6,0.4,0.3766982659919917,0.1850282037522597,0.5617264697442514,High,5,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.3_1,Gacaca,Musanze,High,0.4629871386840336,7,random_forest,0.2638717737219569,0.21923641450248602,0.5168918117755571,High,0.5168918117755571,0.6265100190268001,10,True,0.6,0.4,0.3759060114160801,0.18519485547361345,0.5611008668896935,High,6,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.12_1,Nyange,Musanze,High,0.362824706885707,15,random_forest,0.21495963954289615,0.21794478363611405,0.56709557682099,High,0.56709557682099,0.6760679686390471,2,True,0.6,0.4,0.4056407811834282,0.14512988275428282,0.550770663937711,High,7,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.5_1,Gataraga,Musanze,High,0.3836754690230567,13,random_forest,0.24231288624766875,0.19566257962214775,0.5620245341301835,High,0.5620245341301835,0.6598558239412574,5,True,0.6,0.4,0.3959134943647544,0.1534701876092227,0.5493836819739771,High,8,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.11_1,Nkotsi,Musanze,High,0.3880988555860776,12,random_forest,0.269142528936422,0.1788522224435542,0.5520052486200239,High,0.5520052486200239,0.641431359841801,7,True,0.6,0.4,0.3848588159050806,0.15523954223443104,0.5400983581395116,High,9,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.9_1,Muko,Musanze,High,0.3818568531108455,14,random_forest,0.29821641268119714,0.18091553081821085,0.520868056500592,High,0.520868056500592,0.6113258219096974,12,True,0.6,0.4,0.36679549314581844,0.1527427412443382,0.5195382343901567,High,10,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
