census_record_id,district_source,source_file,source_sheet,source_block,source_row_number,district_and_sectors,total,urban,rural,total_2,unnamed_column_6,urban_2,rural_2,unnamed_column_9,source_sector_value,source_sector_key,sector_column_used,kigali,city_of_kigali,1745555,888882,856673,100,50_9,49_1,gasabo_district,879505,443987,435518,100_2,100_3,rwanda,13246394,3701245,9545149,27_9,72_1,kicukiro_district,491731,249115,242616,50_7,49_3,6429326,6817068,48_5,51_5,unnamed,musanze_district,476522,227340,249182,unnamed_column_2,nyarugenge_district,374319,195780,178539,52_3,47_7
gasabo:Table 1 - Residence area:1:3,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,3,Rwanda,13246394,3701245,9545149,,100,27.9,,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:4,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,4,City of Kigali,1745555,1517168,228387,,100,86.9,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:5,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,5,Gasabo district,879505,714069,165436,,100,81.2,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:6,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,6,Bumbogo,112899,97136,15763,,100,86,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:7,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,7,Gatsata,46262,46262,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:8,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,8,Gikomero,19630,,19630,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:9,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,9,Gisozi,75611,75611,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:10,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,10,Jabana,63862,41287,22575,,100,64.7,,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:11,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,11,Jali,41156,21546,19610,,100,52.4,,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:12,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,12,Kacyiru,30036,30036,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:13,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,13,Kimihurura,16425,16425,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:14,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,14,Kimironko,61733,61733,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:15,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,15,Kinyinya,125400,125400,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:16,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,16,Ndera,95164,81053,14111,,100,85.2,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:17,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,17,Nduba,68424,39017,29407,,100,57,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:18,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,18,Remera,38648,38648,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:19,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,19,Rusororo,61787,"39,91 5",21872,,100,64.6,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 1 - Residence area:1:20,gasabo,gasabo_population.xlsx,Table 1 - Residence area,1,20,Rutunga,22468,,22468,,100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:5,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,5,,,,,,,,,,,,,Gasabo District,879505,443987,435518,100,50.5,49.5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:6,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,6,,,,,,,,,,,,,Bumbogo,112899,56361,56538,100,49.9,50.1,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:7,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,7,,,,,,,,,,,,,Gatsata,46262,24146,22116,100,52.2,47.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:8,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,8,,,,,,,,,,,,,Gikomero,19630,9567,10063,100,48.7,51.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:9,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,9,,,,,,,,,,,,,Gisozi,75611,38995,36616,100,51.6,48.4,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:10,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,10,,,,,,,,,,,,,Jabana,63862,31600,32262,100,49.5,50.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:11,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,11,,,,,,,,,,,,,Jali,41156,20279,20877,100,49.3,50.7,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:12,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,12,,,,,,,,,,,,,Kac iru,30036,15994,14042,100,53.2,46.8,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:13,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,13,,,,,,,,,,,,,Kimihurura,16425,8599,7826,100,52.4,47.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:14,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,14,,,,,,,,,,,,,Kimironko,61733,31721,30012,100,51.4,48.6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:15,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,15,,,,,,,,,,,,,Kin in a,125400,63081,62319,100,50.3,49.7,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gasabo:Table 2 - Sex:1:16,gasabo,gasabo_population.xlsx,Table 2 - Sex,1,16,,,,,,,,,,,,,Ndera,95164,48058,47106,100,50.5,49.5,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
