sentinel_record_id,sector_id,sector_name,district,match_predicate
musanze:979,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:980,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:985,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1059,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1060,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1061,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1062,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1063,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1064,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1065,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1066,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1119,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1120,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1121,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1122,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1123,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1124,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1138,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1141,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1142,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1143,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1144,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1145,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1146,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1147,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1148,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1149,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1150,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1151,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1204,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1205,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1206,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1207,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1208,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1209,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1210,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1211,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1220,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1221,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1222,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1223,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1224,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1225,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1226,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1227,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1228,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1229,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1230,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1231,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1232,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1233,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1234,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1235,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1286,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1287,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1288,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1289,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1290,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1291,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1292,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1293,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1294,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1295,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1296,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1297,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1298,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1299,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1300,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1301,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1302,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1304,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1305,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1306,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1307,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1308,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1309,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1310,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1311,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1312,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1313,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1315,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1316,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1317,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1318,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1319,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1320,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1370,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1371,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1372,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1373,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1374,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1375,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1376,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1377,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1378,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1379,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1380,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1381,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1382,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1383,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1384,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1385,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1386,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1387,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1388,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1389,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1390,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1391,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1392,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1393,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1394,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1395,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1396,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1397,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1398,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1399,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1400,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1401,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1402,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1403,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1404,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1405,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1406,RWA.1.4.14_1,Rwaza,Musanze,within
musanze:1432,RWA.1.4.4_1,Gashaki,Musanze,within
musanze:1433,RWA.1.4.4_1,Gashaki,Musanze,within
musanze:1434,RWA.1.4.4_1,Gashaki,Musanze,within
musanze:1435,RWA.1.4.4_1,Gashaki,Musanze,within
musanze:1436,RWA.1.4.4_1,Gashaki,Musanze,within
musanze:1437,RWA.1.4.4_1,Gashaki,Musanze,within
musanze:1458,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1459,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1460,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1461,RWA.1.4.1_1,Busogo,Musanze,within
musanze:1462,RWA.1.4.11_1,Nkotsi,Musanze,within
musanze:1463,RWA.1.4.11_1,Nkotsi,Musanze,within
